,Region,2021,2022,2023,2024,2025
0,AL & FL,687938,865585,745143,716434,607982
1,AR,1218386,1406481,1192250,1652179,1317924
2,AZ & NM,381240,377730,291036,329710,267296
3,CA,276472,322925,203807,285356,304173
4,GA,2770214,3315371,2485043,2421712,2285299
5,KS & OK,814219,439391,390548,496560,718067
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1082046,1259119,943768,1188957,880299
9,NC & VA,994143,1286120,1003758,1116265,950000
10,SC,398307,439671,320722,329384,287163
11,TN,1144342,1458137,1416393,1602143,950436
12,TX,8300948,3489809,3150859,4870996,6162252
