,Region,2021,2022,2023,2024,2025
0,AL & FL,435905,608466,562046,563397,472667
1,AR,951724,980520,1010069,1232423,1105356
2,AZ & NM,144805,128869,110257,98743,76387
3,CA,190171,206107,138318,162787,158441
4,GA,1306945,1879338,1356980,1198791,1137701
5,KS & OK,385612,237788,251084,270293,287517
6,LA,248166,391909,243905,361002,253479
7,MO,208860,284584,289730,314400,238314
8,MS,840432,1132601,897043,1072819,671791
9,NC & VA,721966,882874,712528,700550,616573
10,SC,217999,249687,192000,206942,146282
11,TN,886540,1006141,1096804,1217871,725864
12,TX,4874560,2453823,2485796,3125290,3467313
