,Region,2021,2022,2023,2024,2025
0,AL & FL,586001,748329,688987,666705,561183
1,AR,1106349,1155182,1109760,1426620,1212615
2,AZ & NM,218283,195186,178657,171234,135963
3,CA,243426,267348,183267,227124,217649
4,GA,1936911,2516963,1866859,1715769,1593572
5,KS & OK,527201,320743,337860,382982,421419
6,LA,255565,398213,244297,377552,264229
7,MO,276740,347311,354274,362192,295709
8,MS,923151,1235342,927597,1131129,724793
9,NC & VA,896777,1110235,873000,915193,784988
10,SC,296948,333667,261806,273550,228592
11,TN,1019289,1211591,1216995,1383584,784609
12,TX,6190313,2961855,2875310,3907583,4436129
