,Region,2021,2022,2023,2024,2025
0,AL & FL,607316,762551,695005,672298,568931
1,AR,1121307,1181946,1115706,1454816,1217728
2,AZ & NM,228187,212046,188930,188301,145162
3,CA,254615,274412,188252,231148,227379
4,GA,2042513,2606975,1934011,1762431,1659146
5,KS & OK,550151,334891,346038,390850,442100
6,LA,255605,398317,244520,377552,264248
7,MO,285212,360656,359320,365975,300803
8,MS,931538,1237013,928326,1131867,732433
9,NC & VA,909181,1136218,889541,933383,792630
10,SC,311056,356727,268825,278652,236488
11,TN,1029867,1230084,1226428,1393085,798266
12,TX,6357080,3032162,2902629,3963940,4572130
