,Region,2021,2022,2023,2024,2025
0,AL & FL,717322,882735,769620,719602,619386
1,AR,1245625,1458880,1257582,1703835,1335973
2,AZ & NM,390032,390887,297571,334374,276273
3,CA,276752,323516,204497,285457,304939
4,GA,2994650,3434224,2623027,2663840,2474445
5,KS & OK,830219,473471,400042,533239,797229
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1152595,1287303,1024971,1262762,948819
9,NC & VA,1066365,1351634,1097472,1190746,1050342
10,SC,414586,445731,328512,341569,292300
11,TN,1160598,1514167,1512203,1699456,997247
12,TX,8597812,3590253,3386721,5187154,6609837
