,Region,2021,2022,2023,2024,2025
0,AL & FL,727452,888976,775790,720219,626172
1,AR,1260441,1472248,1262793,1722140,1338556
2,AZ & NM,390213,393245,300943,336017,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3088894,3499531,2687990,2739250,2536598
5,KS & OK,830567,480233,406242,539317,822484
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1175471,1312075,1038649,1319296,992907
9,NC & VA,1080243,1363476,1124508,1218159,1071438
10,SC,422210,452020,335811,347554,293682
11,TN,1178980,1529871,1552535,1713218,1016457
12,TX,8743760,3636150,3458156,5327865,6855001
