,Region,2021,2022,2023,2024,2025
0,AL & FL,708308,878873,764856,719250,617002
1,AR,1237479,1449184,1240287,1694809,1332559
2,AZ & NM,389310,389476,297311,333374,274166
3,CA,276752,323516,204197,285457,304939
4,GA,2940076,3408698,2600588,2616431,2427221
5,KS & OK,829914,470137,396638,525064,776216
6,LA,256000,414424,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1129833,1270428,1016958,1245603,923460
9,NC & VA,1062018,1336766,1088357,1182994,1029505
10,SC,409861,441856,325191,339436,292128
11,TN,1150557,1493975,1486963,1684411,988054
12,TX,8535312,3560336,3343960,5136977,6453230
