,Region,2021,2022,2023,2024,2025
0,AL & FL,7344,83912,64113,93823,68834
1,AR,101222,193544,268687,341395,223678
2,AZ & NM,11754,19768,13547,18999,8065
3,CA,11550,9072,1100,2800,4933
4,GA,35007,164889,66523,52847,96650
5,KS & OK,21913,8098,9852,14651,13235
6,LA,32345,169914,142192,138536,85233
7,MO,13722,50388,52290,67627,26914
8,MS,56460,297103,233033,331073,158984
9,NC & VA,38653,78242,18837,9724,15766
10,SC,8294,27172,5028,7988,1807
11,TN,52943,157599,199692,257425,122052
12,TX,1167152,1201424,1048444,1247172,1095164
