,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,618062,599839,9833,126863,242003,1610,307,1066,244986
1,AR,1333456,1240091,134614,330980,765749,6064,162,1501,773476
2,AZ & NM,276273,271867,107672,62001,203529,8283,1641,1666,215119
3,CA,304939,304939,140664,25301,202305,25697,2805,2007,232814
4,GA,2432668,1798729,25091,537020,843404,25533,4884,2674,876495
5,KS & OK,780132,733361,69232,194012,398306,747,127,339,399519
6,LA,264630,264278,5774,44501,82792,362,112,1240,84506
7,MO,320299,320299,51012,71668,173609,552,37,135,174333
8,MS,925669,699796,54896,160391,457531,2696,364,2008,462599
9,NC & VA,1032333,835179,23188,157465,450656,8872,2604,1993,464125
10,SC,292213,274018,2458,84863,164858,1353,166,489,166866
11,TN,989817,850535,208380,217505,658215,11105,1605,1736,672661
12,TX,6479176,5205228,480558,1035872,2786351,96237,17564,31918,2932070
13,--TOTAL,16049667,13398159,1313372,3048442,7429308,189111,32378,48772,7699569
