,Region,2021,2022,2023,2024,2025
0,AL & FL,726396,887922,775350,720219,625908
1,AR,1258065,1469738,1261821,1721334,1338556
2,AZ & NM,390213,393245,300431,336017,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3074551,3482535,2665337,2735434,2530937
5,KS & OK,830563,478299,405810,539317,821158
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1171478,1306172,1036583,1315472,990227
9,NC & VA,1078494,1359060,1122435,1217537,1071176
10,SC,420459,451331,334798,346942,293682
11,TN,1174700,1527722,1546264,1712087,1015399
12,TX,8694013,3627220,3449321,5316349,6833590
