,Region,2021,2022,2023,2024,2025
0,AL & FL,678508,861621,743114,712449,606750
1,AR,1207536,1374679,1164204,1634349,1307245
2,AZ & NM,372914,367422,282255,323698,256915
3,CA,274361,320820,203266,284406,295447
4,GA,2686831,3243688,2433827,2339658,2166242
5,KS & OK,796243,427473,389846,483603,680085
6,LA,255930,413639,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1048277,1256320,938881,1168425,845786
9,NC & VA,977537,1267107,962706,1078235,917239
10,SC,396999,439319,315956,324952,283394
11,TN,1136819,1413296,1386611,1549195,919563
12,TX,8144496,3442520,3097578,4721344,5978836
