,Region,2021,2022,2023,2024,2025
0,AL & FL,609587,765189,706692,676723,572558
1,AR,1125131,1185321,1123474,1481897,1220693
2,AZ & NM,232538,212319,193266,192895,150882
3,CA,255461,274412,189505,238559,230999
4,GA,2078119,2629873,1977252,1806274,1694044
5,KS & OK,560531,343076,353971,403684,463329
6,LA,255605,398317,244520,377589,264248
7,MO,290676,366233,363064,367223,305103
8,MS,933112,1237013,929323,1135141,741461
9,NC & VA,912992,1149921,896999,947481,800054
10,SC,314028,360265,271759,284837,241832
11,TN,1034010,1230604,1241230,1402922,806526
12,TX,6471040,3064855,2922462,4041148,4696943
