,Region,2021,2022,2023,2024,2025
0,AL & FL,172321,361455,330107,362722,273447
1,AR,547433,630531,727179,887037,769127
2,AZ & NM,53421,56802,42557,44924,29494
3,CA,106586,109095,54191,79062,82480
4,GA,523863,995996,617339,583340,548612
5,KS & OK,185764,101445,120054,139654,137149
6,LA,181415,347231,225407,303414,200826
7,MO,121105,183655,180800,225324,150716
8,MS,478355,801082,700589,816003,550194
9,NC & VA,368072,498548,344383,336756,306041
10,SC,104193,136226,87258,104723,54364
11,TN,456291,602008,700944,822330,537823
12,TX,2902764,1646400,1589306,2177229,2224906
