,Region,2021,2022,2023,2024,2025
0,AL & FL,700182,875735,759761,717226,613826
1,AR,1233017,1432751,1221780,1684405,1323221
2,AZ & NM,388367,387508,295460,332191,272305
3,CA,276752,323516,203899,285393,304939
4,GA,2873742,3378717,2551132,2548001,2384585
5,KS & OK,829230,462747,390598,507916,761961
6,LA,255930,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1107962,1264227,980149,1215063,906650
9,NC & VA,1039846,1323514,1055846,1158805,1000808
10,SC,405399,440620,322388,334828,291169
11,TN,1148838,1480109,1443285,1655473,977594
12,TX,8456984,3538386,3234513,5042187,6322556
