,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632251,599839,6312,36166,83867,827,304,1060,86058
1,AR,1349264,1240091,70107,141683,288100,3089,118,754,292061
2,AZ & NM,278895,271867,87910,5616,113456,6033,1416,1120,122025
3,CA,304939,304939,52777,21617,89842,18278,1936,1062,111118
4,GA,2635942,1798901,21635,123462,224067,14107,1332,2582,242088
5,KS & OK,836921,760012,11681,44918,86899,216,60,231,87406
6,LA,264630,264278,2044,13124,20248,274,105,542,21169
7,MO,320299,320299,33322,27414,76370,430,15,129,76944
8,MS,1061512,699823,24998,133774,226007,1514,375,1003,228899
9,NC & VA,1088007,836142,18420,85063,214097,4197,1724,1826,221844
10,SC,294777,275088,2820,17969,46203,331,164,445,47143
11,TN,1117039,850589,165306,97653,338011,7951,449,675,347086
12,TX,7432982,5208121,134974,327736,1193503,46405,15500,29839,1285247
13,--TOTAL,17617458,13429989,632306,1076195,3000670,103652,23498,41268,3169088
