,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,626436,599839,9072,47598,132850,828,305,1062,135045
1,AR,1345886,1240091,89668,271156,512764,3879,146,1206,517995
2,AZ & NM,277672,271867,99921,27330,151174,7482,1641,1662,161959
3,CA,304939,304939,93043,16453,131086,22035,2336,1066,156523
4,GA,2592692,1798901,31045,241236,455820,17140,2633,2648,478241
5,KS & OK,830510,760011,61098,149090,287618,361,127,239,288345
6,LA,264630,264278,5595,19928,37289,274,105,542,38210
7,MO,320299,320299,46594,47500,119989,437,24,129,120579
8,MS,1020038,699823,32514,191491,371874,1631,380,1286,375171
9,NC & VA,1080296,836142,23776,89388,324470,5721,2481,1890,334562
10,SC,294689,275088,3402,51457,102741,552,164,450,103907
11,TN,1063964,850589,185634,204955,519234,9410,1246,1247,531137
12,TX,7114253,5208087,312106,541773,1955431,69227,15857,30153,2070668
13,--TOTAL,17136304,13429954,993468,1899355,5102340,138977,27445,43580,5312342
