,Region,2021,2022,2023,2024,2025
0,AL & FL,708308,878283,764856,719250,617002
1,AR,1236607,1441963,1233614,1692874,1331122
2,AZ & NM,388745,387988,296898,332876,274166
3,CA,276752,323516,204197,285457,304939
4,GA,2925371,3397890,2585202,2600730,2423249
5,KS & OK,829914,467410,393489,519260,774091
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1125159,1266594,1007308,1239728,921231
9,NC & VA,1060362,1331993,1081529,1177428,1025674
10,SC,407497,440886,324607,338917,291867
11,TN,1149143,1488875,1470280,1678572,986936
12,TX,8521203,3552438,3317209,5116942,6429987
