,Region,2021,2022,2023,2024,2025
0,AL & FL,627243,781233,713494,678575,574826
1,AR,1138577,1206252,1133873,1494684,1227381
2,AZ & NM,240832,222513,206255,196121,154859
3,CA,261816,281192,194452,242277,233875
4,GA,2155970,2727499,2048927,1837951,1727755
5,KS & OK,592059,357504,362913,409764,478674
6,LA,255700,398350,244542,377589,264248
7,MO,294921,378589,364043,368367,309003
8,MS,941801,1239901,930251,1136418,743526
9,NC & VA,926470,1169118,910083,955702,804888
10,SC,324639,372026,278490,288826,247446
11,TN,1049563,1261220,1254683,1407578,811756
12,TX,6646042,3120409,2955492,4089014,4799347
