,Region,2021,2022,2023,2024,2025
0,AL & FL,423577,598391,553559,561339,470782
1,AR,934322,967806,1001382,1230489,1102176
2,AZ & NM,138637,126567,107796,98535,76387
3,CA,187288,198305,130971,161957,156917
4,GA,1265889,1830952,1324392,1187341,1128274
5,KS & OK,377189,233096,245262,267146,284459
6,LA,246109,390495,243905,360710,253479
7,MO,206312,280170,285910,313379,237164
8,MS,824843,1123628,892210,1070784,671791
9,NC & VA,706906,861108,696079,694555,612234
10,SC,211885,243093,186594,202995,142908
11,TN,870720,992131,1087195,1214531,722027
12,TX,4790643,2411739,2447389,3102274,3433799
