,Region,2021,2022,2023,2024,2025
0,AL & FL,670812,844861,742044,699294,602948
1,AR,1185528,1326526,1143345,1615365,1266791
2,AZ & NM,334250,316221,268659,291891,230691
3,CA,271329,313225,201562,277640,274298
4,GA,2588189,3121520,2339128,2179831,2038479
5,KS & OK,747645,422188,387136,469280,629310
6,LA,255924,408461,244549,379220,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1020516,1253209,931658,1157758,800953
9,NC & VA,961746,1237298,947240,1015151,879364
10,SC,394909,434470,315042,320690,278689
11,TN,1111763,1360955,1329309,1486103,860830
12,TX,7830250,3374556,3065272,4502934,5628722
