,Region,2021,2022,2023,2024,2025
0,AL & FL,689346,866311,747691,716786,607982
1,AR,1221626,1411559,1206391,1656663,1319173
2,AZ & NM,383776,379482,292343,330457,268709
3,CA,276472,322925,203807,285359,304367
4,GA,2792642,3326579,2506089,2458760,2304907
5,KS & OK,819928,443348,390598,498059,732002
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1087280,1259735,952441,1194151,884960
9,NC & VA,1004238,1294188,1020013,1128829,958567
10,SC,398833,439935,321513,330753,288989
11,TN,1145766,1463766,1423508,1620553,956123
12,TX,8334054,3501387,3169064,4922123,6191117
