,Region,2021,2022,2023,2024,2025
0,AL & FL,703319,877053,759937,717490,614973
1,AR,1234687,1439112,1229106,1689417,1325464
2,AZ & NM,388416,387988,296147,332691,274166
3,CA,276752,323516,204183,285393,304939
4,GA,2904488,3389446,2574604,2578464,2401362
5,KS & OK,829914,465827,392617,512312,766841
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1117303,1265976,1005074,1231536,911306
9,NC & VA,1050311,1329481,1075076,1168386,1010269
10,SC,406095,440620,324541,337347,291256
11,TN,1149001,1485791,1456456,1668021,980506
12,TX,8488941,3547591,3295446,5087557,6362975
