,Region,2021,2022,2023,2024,2025
0,AL & FL,666058,837107,740848,695510,600051
1,AR,1174838,1312512,1139278,1606628,1263160
2,AZ & NM,318387,293218,260473,266164,220879
3,CA,271244,306665,200844,271376,264544
4,GA,2522821,3065049,2284391,2109229,1978268
5,KS & OK,727106,417662,382563,463750,597745
6,LA,255832,402477,244549,379220,264454
7,MO,315831,398195,382131,385989,320299
8,MS,1006942,1252199,930686,1154019,794054
9,NC & VA,956486,1223842,942797,1005627,866189
10,SC,386463,431478,312920,316926,278601
11,TN,1101408,1349550,1308044,1460020,850876
12,TX,7627762,3332915,3049524,4422903,5497798
