,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,716961,705962,75545,149924,323829,1148,626,717,326320
1,AR,1670011,1582512,536463,285202,912609,2164,1108,832,916713
2,AZ & NM,331257,327123,139651,38331,223628,4771,2730,553,231682
3,CA,285359,285359,142245,10170,175827,4920,2795,1249,184791
4,GA,2500227,1949174,154758,615740,1166489,11897,1509,2081,1181976
5,KS & OK,503602,425128,22221,88389,250845,795,833,446,252919
6,LA,379254,379254,59492,41012,122142,586,906,551,124185
7,MO,388113,388113,125471,60025,198991,69,247,250,199557
8,MS,1202488,1104828,381399,164130,658567,7780,2547,905,669799
9,NC & VA,1140514,993234,175181,167821,693339,7471,2360,1047,704217
10,SC,333106,320402,48479,80764,189070,686,199,370,190325
11,TN,1639131,1410460,707521,227612,1071612,4273,880,2607,1079372
12,TX,4978522,4023402,367634,644055,1837421,34189,21668,21772,1915050
13,--TOTAL,16068545,13894951,2936060,2573175,7824369,80749,38408,33380,7976906
