,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607982,599816,70207,134609,335757,2123,307,1066,339253
1,AR,1317924,1240091,645809,219204,929731,8023,162,1501,939417
2,AZ & NM,267296,267296,120670,68680,228230,17693,1642,1667,249232
3,CA,304173,304173,187795,8901,229847,27297,2926,3335,263405
4,GA,2285299,1798009,229492,696778,1263425,29186,4964,2750,1300325
5,KS & OK,718067,693542,96628,162362,447449,910,139,505,449003
6,LA,264630,264278,77676,29508,119699,362,112,1242,121415
7,MO,320299,320299,118226,75480,224338,844,37,198,225417
8,MS,880299,699796,395331,92214,512895,3528,369,2746,519538
9,NC & VA,950000,833141,123036,201691,534772,13020,2669,2040,552501
10,SC,287163,274018,119577,43103,200921,1545,166,489,203121
11,TN,950436,850489,555963,126664,722616,14541,1405,1740,740302
12,TX,6162252,5189482,1154761,690110,3430923,118889,17691,32030,3599533
13,--TOTAL,15315820,13334430,3895171,2549304,9180603,237961,32589,51309,9502462
