,Region,2021,2022,2023,2024,2025
0,AL & FL,101883,262518,234378,276480,198539
1,AR,403746,472792,584941,737138,602775
2,AZ & NM,32029,34154,26979,30283,16985
3,CA,69432,58307,25679,47118,56149
4,GA,309101,669762,369547,356758,366498
5,KS & OK,129700,60505,74159,95501,90638
6,LA,135159,297180,209416,263141,168485
7,MO,84210,137150,140648,175708,113236
8,MS,331059,621484,559657,678432,446389
9,NC & VA,249068,347889,202315,197767,197086
10,SC,69779,98388,51228,68943,35356
11,TN,318327,446900,549644,636214,415604
12,TX,2271632,1442647,1311992,1876507,1757116
