,Region,2021,2022,2023,2024,2025
0,AL & FL,367341,551546,504615,511156,432396
1,AR,868891,895615,947667,1129240,1046989
2,AZ & NM,113707,108876,93864,72400,63458
3,CA,168231,181915,118405,132462,132443
4,GA,1076745,1630034,1158913,1003508,978795
5,KS & OK,332513,201026,218008,223449,250368
6,LA,239900,385252,243007,348700,247871
7,MO,187228,258311,262388,292614,220535
8,MS,772759,1059623,868559,1012612,660299
9,NC & VA,639248,785948,621193,594572,540906
10,SC,187241,217557,162313,173608,117771
11,TN,785732,902770,1006827,1112003,695723
12,TX,4372342,2226482,2265010,2813494,3178720
