,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,626436,599839,9246,53883,148161,902,306,1062,150431
1,AR,1341514,1240091,94139,278272,558502,3955,146,1206,563809
2,AZ & NM,276273,271867,101409,30356,158909,7482,1641,1666,169698
3,CA,304939,304939,105632,11485,140714,22902,2798,1066,167480
4,GA,2572491,1798901,26131,277264,514526,19027,3012,2648,539213
5,KS & OK,826854,759961,62595,150743,297680,452,127,239,298498
6,LA,264630,264278,5596,23217,43191,274,94,536,44095
7,MO,320299,320299,48333,44892,127657,437,24,129,128247
8,MS,1012053,699823,38899,173737,400773,1633,380,1286,404072
9,NC & VA,1075682,836142,24386,92228,348615,5752,2481,1891,358739
10,SC,293770,274169,3408,60587,113918,554,164,451,115087
11,TN,1044849,850589,181352,190273,536170,9682,1623,1730,549205
12,TX,7012033,5208086,339927,652488,2090834,73197,15887,30345,2210263
13,--TOTAL,16971823,13428984,1041053,2039425,5479650,146249,28683,44255,5698837
