,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,24712,51319,119957,717,628,674,121976
1,AR,1731852,1582512,341049,168637,559778,1537,1069,781,563165
2,AZ & NM,336203,331915,126173,13501,176832,3988,2598,501,183919
3,CA,285457,285457,108034,2640,134834,4203,2751,1212,143000
4,GA,2822409,1949408,99735,249888,525833,10114,1316,1815,539078
5,KS & OK,540974,425132,8565,62860,113230,668,831,440,115169
6,LA,379254,379254,30482,19323,58131,387,825,549,59892
7,MO,388113,388113,71054,25128,104951,67,159,250,105427
8,MS,1376075,1104908,264570,179922,515337,7581,2400,904,526222
9,NC & VA,1244513,1002773,94972,125281,463303,5497,1711,1047,471558
10,SC,358905,321234,45316,42512,113442,549,199,337,114527
11,TN,1747028,1410498,335564,215012,703433,3657,869,2632,710591
12,TX,5446349,4025555,290167,204173,1065296,25171,19946,21694,1132107
13,--TOTAL,17377975,13912905,1840393,1360196,4654357,64136,35302,32836,4786631
