,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,889856,777548,720219,626436
1,AR,1263690,1475958,1266930,1729722,1341514
2,AZ & NM,390213,394725,301378,336203,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3110937,3533185,2717478,2791059,2572491
5,KS & OK,830571,487327,406330,540886,826854
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1180223,1325449,1043848,1362014,1012053
9,NC & VA,1085519,1369802,1130626,1238936,1075682
10,SC,425775,454255,337303,354152,293770
11,TN,1184062,1532189,1577567,1731997,1044849
12,TX,8782234,3668495,3509397,5423976,7009005
