,Region,2021,2022,2023,2024,2025
0,AL & FL,701052,875735,759937,717402,614973
1,AR,1233808,1433557,1224522,1686682,1325464
2,AZ & NM,388411,387508,295518,332491,273966
3,CA,276752,323516,204183,285393,304939
4,GA,2887010,3378717,2560895,2560440,2392366
5,KS & OK,829675,462835,390598,509761,765002
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1110107,1264227,996088,1224242,911306
9,NC & VA,1045082,1323514,1061834,1163824,1009909
10,SC,405749,440620,324366,335703,291256
11,TN,1148914,1480109,1446425,1661288,980243
12,TX,8469696,3538386,3248065,5063143,6357295
