,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,85234,85234,0,8962,85234,13675,351,1108,100368
1,AR,276964,276964,7414,48564,276964,90621,241,1520,369346
2,AZ & NM,9105,9105,0,9619,9105,74257,2651,1802,87815
3,CA,5189,5189,211,10404,5189,65271,3029,3365,76854
4,GA,113386,113024,0,47937,113024,102166,5997,2832,224019
5,KS & OK,21612,21612,0,267,21612,4896,524,833,27865
6,LA,97586,97586,13940,2290,97585,3380,134,1270,102369
7,MO,40082,40082,0,5767,40082,17178,47,208,57515
8,MS,190938,190938,13030,45269,190937,62644,1404,3118,258103
9,NC & VA,24699,24613,0,73431,24698,107543,3243,2445,137929
10,SC,3030,3026,0,16511,3026,21665,286,526,25503
11,TN,167129,166329,5469,86285,166329,160345,1602,1841,330117
12,TX,1156868,1126347,201995,227318,955700,337863,19031,38737,1351331
13,--TOTAL,2191822,2160049,242059,582624,1989485,1061504,38540,59605,3149134
