,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,578885,576348,177231,119746,507229,3537,315,1104,512185
1,AR,1233923,1221144,1025837,94135,1130817,16249,163,1510,1148739
2,AZ & NM,159541,159541,97184,14201,155576,29637,2259,1668,189140
3,CA,239301,239301,185858,7883,225998,36947,3029,3365,269339
4,GA,1767625,1683914,396839,420969,1598168,41410,5083,2833,1647494
5,KS & OK,492396,489086,79619,68764,423907,1727,160,523,426317
6,LA,264248,264248,158136,37260,209868,803,114,1270,212055
7,MO,311803,311803,257941,20694,289992,2539,37,199,292767
8,MS,750259,699796,523792,90225,630234,9817,373,3024,643448
9,NC & VA,815309,802349,237380,131620,723190,25058,2913,2157,753318
10,SC,253350,251407,150698,24861,240745,3012,196,524,244477
11,TN,816251,795331,663915,54750,743566,30901,1424,1784,777675
12,TX,4905921,4657191,1697649,514607,3840903,169777,18128,38194,4067002
13,--TOTAL,12588812,12151459,5652079,1599715,10720193,371414,34194,58155,11183956
