,Region,2021,2022,2023,2024,2025
0,AL & FL,908,28650,17534.0,32812,27140
1,AR,10344,84746,106815.0,188708,107117
2,AZ & NM,6475,14081,8694.0,15416,4970
3,CA,303,533,,100,1172
4,GA,5761,43939,15459.0,9965,50221
5,KS & OK,1830,986,393.0,1778,1913
6,LA,10898,98102,89220.0,86826,55259
7,MO,299,17503,10801.0,28286,4747
8,MS,2603,137130,89274.0,181530,63193
9,NC & VA,3960,8409,570.0,672,1313
10,SC,716,6339,739.0,1478,339
11,TN,2896,41318,56977.0,114339,33773
12,TX,883129,1075673,976384.0,1064720,938018
