,Region,2021,2022,2023,2024,2025
0,AL & FL,727452,888011,775350,720219,625908
1,AR,1259121,1470524,1262527,1722140,1338556
2,AZ & NM,390213,393245,300855,336017,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3082098,3485442,2680555,2739250,2530937
5,KS & OK,830565,479089,406242,539317,821160
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1173156,1308887,1038019,1319296,990227
9,NC & VA,1079121,1360677,1123485,1218159,1071176
10,SC,420724,451682,335296,347554,293682
11,TN,1175571,1529511,1549115,1713218,1015399
12,TX,8711391,3629533,3454018,5327865,6833590
