,Region,2021,2022,2023,2024,2025
0,AL & FL,657965,825713,739553,691549,592169
1,AR,1162347,1280810,1138511,1575566,1252790
2,AZ & NM,295531,270995,246530,238682,191659
3,CA,268475,297613,198817,265536,255298
4,GA,2424259,2964114,2232073,2046578,1901659
5,KS & OK,684050,411307,377324,452247,568084
6,LA,255796,398522,244549,379202,264266
7,MO,314441,395409,375905,384789,320299
8,MS,981532,1250182,930334,1148003,774525
9,NC & VA,948745,1208419,936909,997942,852493
10,SC,365740,424205,305896,309208,273239
11,TN,1087663,1329682,1284112,1445684,833893
12,TX,7340741,3274765,3032575,4321646,5332844
