,Region,2021,2022,2023,2024,2025
0,AL & FL,669276,843578,741868,698059,601674
1,AR,1181704,1322963,1141965,1613968,1263773
2,AZ & NM,328785,312504,268339,282874,227636
3,CA,271244,312300,201562,275743,271962
4,GA,2565040,3098548,2333000,2171475,2022099
5,KS & OK,743131,420995,386105,468479,612968
6,LA,255924,406261,244549,379220,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1016739,1253040,931485,1157494,796379
9,NC & VA,959049,1231207,946441,1014359,877583
10,SC,392317,434196,315042,319807,278689
11,TN,1109068,1356674,1326289,1478612,853965
12,TX,7787450,3361439,3063387,4483381,5582900
