,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,626436,599839,9072,49434,134738,828,305,1062,136933
1,AR,1344553,1240091,89668,278705,521125,3879,146,1206,526356
2,AZ & NM,277223,271867,100217,25066,152056,7482,1641,1662,162841
3,CA,304939,304939,94889,15871,132606,22035,2336,1066,158043
4,GA,2589348,1798901,31143,255368,466940,17452,3003,2648,490043
5,KS & OK,829714,760007,61176,148816,289214,361,127,239,289941
6,LA,264630,264278,5595,21773,39134,274,105,542,40055
7,MO,320299,320299,46594,48474,121051,437,24,129,121641
8,MS,1018511,699823,32865,181197,376807,1631,380,1286,380104
9,NC & VA,1079763,836142,23844,91426,326693,5721,2481,1890,336785
10,SC,294689,275088,3402,54438,105809,552,164,451,106976
11,TN,1059293,850589,183122,211014,522833,9346,1246,1247,534672
12,TX,7103137,5208087,314837,567780,1987395,69582,15871,30154,2103002
13,--TOTAL,17112535,13429950,996424,1949362,5176401,139580,27829,43582,5387392
