,Region,2021,2022,2023,2024,2025
0,AL & FL,717322,883088,770502,720043,622118
1,AR,1245625,1459566,1258625,1707953,1336151
2,AZ & NM,390032,391681,297571,334574,276273
3,CA,276752,323516,204597,285457,304939
4,GA,2994650,3438387,2631665,2683697,2488094
5,KS & OK,830219,473471,402492,535536,800898
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1152595,1288552,1027641,1275186,958579
9,NC & VA,1066365,1351899,1100538,1198273,1052986
10,SC,415126,446333,329225,343139,292300
11,TN,1160598,1514942,1518094,1702049,1001882
12,TX,8597812,3592218,3397299,5213051,6642446
