,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,561183,559785,190270,91460,508823,3890,315,1104,514132
1,AR,1212615,1202916,1030771,72017,1143500,19886,172,1520,1165078
2,AZ & NM,135963,135963,73134,15111,134386,32188,2347,1668,170589
3,CA,217649,217649,170887,8759,208664,39954,3029,3365,255012
4,GA,1593572,1530153,369915,303657,1482207,44875,5087,2839,1535008
5,KS & OK,421419,418109,66395,58599,396534,1771,160,523,398988
6,LA,264229,264229,186295,32965,223258,818,114,1270,225460
7,MO,295709,295709,225531,17223,281170,3996,37,199,285402
8,MS,724793,696678,550069,72159,643187,11840,374,3024,658425
9,NC & VA,784988,776631,305106,121894,728241,28798,3110,2354,762503
10,SC,228592,226737,142886,25565,222273,3629,196,524,226622
11,TN,784609,767395,661211,52978,734717,39159,1423,1784,777083
12,TX,4436129,4236864,1422270,429073,3531377,181729,18591,38253,3769950
13,--TOTAL,11661450,11328818,5394740,1301460,10238337,412533,34955,58427,10744252
