,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,625028,599839,9718,86031,191406,1577,307,1063,194353
1,AR,1338556,1240091,125950,314717,672613,4746,161,1244,678764
2,AZ & NM,276273,271867,105465,38169,178531,7568,1641,1666,189406
3,CA,304939,304939,122099,13699,170427,24737,2798,1066,199028
4,GA,2510388,1798901,24984,392388,661821,22636,4873,2658,691988
5,KS & OK,810757,751669,66735,156836,343952,549,127,239,344867
6,LA,264630,264278,5596,34081,59781,285,106,542,60714
7,MO,320299,320299,50922,48234,143978,457,31,135,144601
8,MS,974759,699823,53671,164142,443226,1979,370,1740,447315
9,NC & VA,1065900,835971,25607,119398,401163,7351,2595,1899,413008
10,SC,293507,274169,3595,65331,137356,1086,166,451,139059
11,TN,1010773,850535,183157,214125,604058,9589,1611,1697,616955
12,TX,6750930,5208081,453251,768423,2427755,82104,16628,31818,2558305
13,--TOTAL,16546739,13420462,1230750,2415574,6436067,164664,31414,46218,6678363
