,Region,2021,2022,2023,2024,2025
0,AL & FL,728509,890208,777548,720843,626436
1,AR,1264833,1483857,1267026,1731946,1345886
2,AZ & NM,390403,394725,301558,336892,277672
3,CA,276933,323517,204697,285457,304939
4,GA,3143659,3564771,2731684,2834327,2592692
5,KS & OK,830571,491201,406675,540974,830510
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1183891,1344798,1067954,1383532,1020038
9,NC & VA,1092911,1377805,1134891,1247027,1080296
10,SC,429240,457886,337909,359871,294689
11,TN,1187736,1536780,1585544,1757793,1063964
12,TX,8833377,3703339,3537791,5466540,7114253
