,Region,2021,2022,2023,2024,2025
0,AL & FL,3739,60911,44527.0,71565,51579
1,AR,56010,135771,212232.0,305943,186133
2,AZ & NM,10753,17105,10866.0,17909,7960
3,CA,6614,5533,,2000,2733
4,GA,21063,107578,38306.0,33182,85483
5,KS & OK,12486,4836,1010.0,10133,10321
6,LA,23634,134771,120073.0,125370,79568
7,MO,6378,35888,37534.0,55562,19400
8,MS,24486,215765,181200.0,294079,133652
9,NC & VA,22797,41883,7286.0,5215,9922
10,SC,2720,14884,1714.0,5171,1677
11,TN,22139,95961,139775.0,217176,93243
12,TX,1054636,1156352,1018606.0,1180489,1046559
