,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,4730,4730,0,14914,4730,22346,397,1139,28612
1,AR,41532,41532,7414,85568,41532,133253,330,1654,176769
2,AZ & NM,2319,2319,0,28731,2319,95994,3062,2121,103496
3,CA,697,697,211,7085,697,71099,3296,3365,78457
4,GA,5721,5721,0,54709,5721,130749,6258,2864,145592
5,KS & OK,0,0,0,266,0,5531,525,834,6890
6,LA,29875,29875,13940,4046,29875,5885,135,1270,37165
7,MO,0,0,0,12020,0,23918,47,208,24173
8,MS,16461,16461,6595,98800,16461,128369,1348,3118,149296
9,NC & VA,87,1,0,102215,86,150980,3448,2455,156969
10,SC,4,0,0,20170,0,29498,331,527,30356
11,TN,1877,1877,3974,127689,1877,233786,1551,2779,239993
12,TX,778791,757176,201905,265745,679899,450461,19587,40300,1190247
13,--TOTAL,882094,860389,234039,821958,783197,1481869,40315,62634,2368015
