,Region,2021,2022,2023,2024,2025
0,AL & FL,52318,203346,172234,198585,159774
1,AR,287874,382715,486280,612856,479425
2,AZ & NM,20738,26294,21523,26028,13552
3,CA,40623,35985,12294,31854,38008
4,GA,170276,474013,240150,232175,254809
5,KS & OK,81184,39796,48924,66445,62528
6,LA,92848,263726,192990,226827,142358
7,MO,59472,108103,108033,140315,85662
8,MS,220929,513668,454381,578914,359673
9,NC & VA,158349,257712,116452,109694,120198
10,SC,38933,71651,31137,46029,21668
11,TN,211690,344511,429281,508892,331877
12,TX,1802600,1342097,1222807,1658272,1497391
