,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,889856,777548,720579,626436
1,AR,1263778,1476481,1266930,1730680,1341514
2,AZ & NM,390229,394725,301378,336203,276273
3,CA,276933,323517,204697,285457,304939
4,GA,3113936,3536735,2718376,2799900,2572491
5,KS & OK,830571,487685,406330,540974,826854
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1180493,1328245,1045284,1366584,1012053
9,NC & VA,1085788,1372656,1131354,1240190,1075682
10,SC,426039,454865,337561,356290,293770
11,TN,1184150,1532492,1579317,1734831,1044849
12,TX,8797110,3673628,3515455,5428225,7012033
