,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,601040,596648,191382,116627,458080,2485,310,1077,461952
1,AR,1263600,1233793,972373,98142,1068657,12351,162,1501,1082671
2,AZ & NM,226136,226136,135456,28482,215379,29351,2259,1667,248656
3,CA,269817,269817,187711,22481,247617,33614,3029,3365,287625
4,GA,2004883,1785647,471404,559193,1586465,32997,5046,2830,1627338
5,KS & OK,608214,598186,94381,121838,491510,1161,139,521,493331
6,LA,264454,264278,130681,37159,177961,627,114,1269,179971
7,MO,320299,320299,247728,25505,277608,1481,37,198,279324
8,MS,794939,699796,507865,56369,577872,8491,371,2754,589488
9,NC & VA,875061,827007,215415,167731,685677,19347,2826,2127,709977
10,SC,278689,274018,163204,21341,245478,1876,196,524,248074
11,TN,852858,817202,664868,63672,736383,22397,1403,1782,761965
12,TX,5532895,5074500,1988021,632251,4027452,158286,18096,35281,4239115
13,--TOTAL,13892885,12987327,5970489,1950791,10796139,324464,33988,54896,11209487
