,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,597067,593468,191741,110668,473414,2663,310,1077,477464
1,AR,1259619,1233793,986153,83742,1068229,12431,162,1501,1082323
2,AZ & NM,212294,212294,129585,21819,203338,29351,2259,1668,236616
3,CA,262141,262141,195919,15336,242515,33957,3029,3365,282866
4,GA,1952764,1773095,475478,532182,1600989,34287,5082,2832,1643190
5,KS & OK,589998,581625,87959,104921,477653,1237,139,523,479552
6,LA,264454,264278,139110,30836,180513,715,114,1269,182611
7,MO,320299,320299,252859,21614,279036,1657,37,198,280928
8,MS,792654,699796,517145,49646,581664,8580,371,2754,593369
9,NC & VA,863088,825160,216811,162204,697631,19702,2913,2129,722375
10,SC,277084,273029,161831,20911,249129,1936,196,524,251785
11,TN,850092,815220,671865,52185,736359,22573,1403,1782,762117
12,TX,5478969,5049518,1962044,575028,4052773,162134,18113,35293,4268313
13,--TOTAL,13720523,12903716,5988500,1781092,10843243,331223,34128,54915,11263509
