,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607015,599816,143034,124212,381688,2217,307,1066,385278
1,AR,1310130,1240091,868432,123576,990932,8243,162,1501,1000838
2,AZ & NM,261042,261042,144395,51999,231008,21837,1643,1667,256155
3,CA,296576,296576,191529,22636,246859,30558,2968,3365,283750
4,GA,2186768,1797721,406117,624255,1393152,29793,4988,2750,1430683
5,KS & OK,685815,674399,103046,104975,453004,1016,139,506,454665
6,LA,264630,264278,107085,18865,132059,362,112,1269,133802
7,MO,320299,320299,207336,28099,239925,844,37,198,241004
8,MS,853375,699796,456482,73400,539493,3844,369,2746,546452
9,NC & VA,922938,830665,174617,182714,603488,14108,2735,2040,622371
10,SC,284091,274018,137306,34620,218977,1548,166,489,221180
11,TN,929752,849302,654246,74569,742427,17364,1372,1777,762940
12,TX,6014789,5172505,1916497,629832,3712403,131756,17838,32047,3894044
13,--TOTAL,14937220,13280508,5510122,2093752,9885415,263490,32836,51421,10233162
