,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,888976,775790,720219,626436
1,AR,1261758,1473022,1262962,1724281,1338556
2,AZ & NM,390213,393245,301144,336134,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3095748,3503775,2691591,2746322,2551439
5,KS & OK,830570,481279,406242,539493,824064
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1177052,1314026,1038825,1326324,998290
9,NC & VA,1081947,1364754,1125307,1223634,1073009
10,SC,422746,452271,336158,348767,293682
11,TN,1180704,1530051,1554161,1716271,1020654
12,TX,8754796,3640790,3460274,5359841,6880464
