,Region,2021,2022,2023,2024,2025
0,AL & FL,719173,883262,770502,720043,622118
1,AR,1245976,1459918,1259132,1709781,1336153
2,AZ & NM,390032,392188,298070,334574,276273
3,CA,276752,323516,204597,285457,304939
4,GA,2994914,3441397,2636075,2692426,2488094
5,KS & OK,830219,473910,402756,536767,800898
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382310,388113,320299
8,MS,1154384,1291488,1030330,1279535,958579
9,NC & VA,1067711,1352345,1104367,1200400,1052986
10,SC,415393,446597,329761,343491,292300
11,TN,1161106,1515210,1520620,1702936,1002057
12,TX,8607001,3594791,3403447,5222545,6657089
