,Region,2021,2022,2023,2024,2025
0,AL & FL,687584,865585,745143,716434,607806
1,AR,1216718,1404008,1192250,1650252,1317165
2,AZ & NM,381056,376407,291036,328853,267096
3,CA,276382,322925,203807,284928,304091
4,GA,2757611,3312797,2485043,2416194,2274600
5,KS & OK,813499,437898,390548,496384,714853
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1079644,1258943,943768,1187162,878449
9,NC & VA,990603,1284712,1003758,1112939,945638
10,SC,398047,439583,320722,328635,287077
11,TN,1142291,1456980,1416393,1593187,950260
12,TX,8290296,3486686,3150859,4856224,6151617
