,Region,2021,2022,2023,2024,2025
0,AL & FL,724899,885021,772448,720219,623705
1,AR,1249542,1462585,1260284,1712620,1338381
2,AZ & NM,390213,393160,298270,335074,276273
3,CA,276752,323517,204597,285457,304939
4,GA,3026919,3458230,2639725,2700713,2502490
5,KS & OK,830533,475934,403283,536855,808112
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382310,388113,320299
8,MS,1160868,1296993,1032832,1287686,967535
9,NC & VA,1072946,1355402,1110636,1205687,1061404
10,SC,417453,447987,331043,343494,293067
11,TN,1170778,1521532,1523948,1704403,1008297
12,TX,8659181,3606445,3411373,5245470,6695406
