,Region,2021,2022,2023,2024,2025
0,AL & FL,9710,96920,71452,98933,76243
1,AR,112264,208416,288303,347775,263107
2,AZ & NM,12082,20192,13947,18999,8795
3,CA,14450,10572,1800,4697,4933
4,GA,44195,183125,78159,52847,104538
5,KS & OK,26455,12986,15169,16500,15767
6,LA,39832,180876,147835,139683,93538
7,MO,17755,55186,56874,69980,36078
8,MS,75111,316046,251137,333324,181260
9,NC & VA,45121,94758,23115,10544,20146
10,SC,10525,33674,5938,7988,2441
11,TN,62964,174939,218598,268098,146311
12,TX,1214324,1212478,1062906,1266620,1121791
