,Region,2021,2022,2023,2024,2025
0,AL & FL,1827,45116,32738.0,47280,36531
1,AR,31369,116920,162547.0,229667,128239
2,AZ & NM,9452,15857,10132.0,15887,6100
3,CA,3853,2333,,900,1172
4,GA,12752,83739,30584.0,14993,63060
5,KS & OK,6382,2729,803.0,3085,4212
6,LA,19198,123466,106826.0,95641,63477
7,MO,1534,27988,23840.0,37957,7433
8,MS,16824,193341,136583.0,209841,84851
9,NC & VA,14084,23241,3254.0,1344,4100
10,SC,1929,11828,1614.0,1934,1178
11,TN,11656,77865,98071.0,149062,53774
12,TX,977305,1118005,1006559.0,1103380,984725
