,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,68834,68834,0,8859,68834,14289,351,1108,84582
1,AR,223678,223678,7414,51282,223678,94457,241,1520,319896
2,AZ & NM,8065,8065,0,9971,8065,74257,3003,1802,87127
3,CA,4933,4933,211,10054,4933,65529,3029,3365,76856
4,GA,96650,96650,0,47652,96288,106692,6177,2833,211990
5,KS & OK,13235,13235,0,177,13235,4896,524,833,19488
6,LA,85233,85233,13940,2554,85232,3644,134,1270,90280
7,MO,26914,26914,0,5793,26914,17339,47,208,44508
8,MS,158984,158984,13030,51507,158984,71903,1404,3118,235409
9,NC & VA,15766,15680,0,77992,15765,112739,3243,2445,134192
10,SC,1807,1803,0,17312,1803,22542,286,526,25157
11,TN,122052,122052,3974,90382,122052,170655,1602,1841,296150
12,TX,1095164,1066173,201995,230653,909532,347076,19035,38737,1314380
13,--TOTAL,1921315,1892234,240564,604188,1735315,1106018,39076,59606,2940015
