,Region,2021,2022,2023,2024,2025
0,AL & FL,203.0,12137,5466.0,13154.0,8779.0
1,AR,2743.0,43906,53143.0,91055.0,60099.0
2,AZ & NM,4945.0,11741,7100.0,11454.0,3129.0
3,CA,3.0,33,,,934.0
4,GA,756.0,16628,6230.0,1312.0,17012.0
5,KS & OK,846.0,653,387.0,151.0,
6,LA,7498.0,64507,62927.0,49199.0,35662.0
7,MO,,5923,2646.0,13355.0,
8,MS,899.0,76718,39131.0,100748.0,22097.0
9,NC & VA,344.0,3097,198.0,,87.0
10,SC,190.0,798,22.0,,4.0
11,TN,656.0,12757,8734.0,39624.0,8374.0
12,TX,788030.0,1014472,946373.0,964189.0,821305.0
