,Region,2021,2022,2023,2024,2025
0,AL & FL,717322,883088,770502,720043,619386
1,AR,1245625,1458880,1258450,1706184,1335973
2,AZ & NM,390032,390887,297571,334574,276273
3,CA,276752,323516,204597,285457,304939
4,GA,2994650,3434224,2626513,2674278,2480613
5,KS & OK,830219,473471,401531,534642,798542
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1152595,1287480,1026302,1268665,954040
9,NC & VA,1066365,1351634,1098177,1193439,1051577
10,SC,415126,445731,328811,341821,292300
11,TN,1160598,1514167,1513950,1700705,998302
12,TX,8597812,3590253,3389292,5200438,6628024
