,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,610369,599816,26863,133875,300629,1934,307,1066,303936
1,AR,1319960,1240091,130306,278449,869202,7538,162,1501,878403
2,AZ & NM,270606,270606,107335,77054,219486,16522,1642,1666,239316
3,CA,304762,304762,170390,13422,219706,26273,2924,3335,252238
4,GA,2351335,1798297,23374,684131,1120153,28485,4927,2714,1156279
5,KS & OK,749143,708607,60272,163340,431385,910,139,505,432939
6,LA,264630,264278,13370,47371,108720,362,112,1242,110436
7,MO,320299,320299,48755,68652,204268,819,37,135,205259
8,MS,894484,699796,54824,153631,497482,3053,364,2735,503634
9,NC & VA,979782,835006,23184,175951,490600,10888,2622,1995,506105
10,SC,290387,274018,766,67599,188329,1441,166,489,190425
11,TN,967684,850535,249597,165708,707816,13597,1418,1769,724600
12,TX,6244180,5199658,509347,816972,3174830,105548,17494,31944,3329816
13,--TOTAL,15567621,13365769,1418383,2846155,8532606,217370,32314,51096,8833386
