,Region,2021,2022,2023,2024,2025
0,AL & FL,660461,826555,739553,692647,593388
1,AR,1163681,1285077,1138511,1577879,1253864
2,AZ & NM,298764,275462,246530,240034,196042
3,CA,268575,299414,198817,265536,256967
4,GA,2440575,2985198,2232802,2064059,1913212
5,KS & OK,689926,412400,377342,455508,576067
6,LA,255825,398610,244549,379202,264266
7,MO,314757,395409,375905,384789,320299
8,MS,986886,1250182,930334,1148091,780369
9,NC & VA,949608,1210749,936909,998670,854978
10,SC,368038,426365,306457,311712,275201
11,TN,1089829,1332548,1284112,1445948,840112
12,TX,7382377,3287615,3032575,4335969,5378846
