,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,0,0,0,26921,0,46185,576,1167,47928
1,AR,0,0,0,92602,0,221169,433,1673,223275
2,AZ & NM,0,0,0,18578,0,126831,3766,2238,132835
3,CA,0,0,0,4871,0,85154,3806,3562,92522
4,GA,0,0,79,111491,0,233617,6480,2880,242977
5,KS & OK,0,0,0,2049,0,11732,525,1269,13526
6,LA,0,0,0,7374,0,14995,195,1270,16460
7,MO,0,0,0,20631,0,47642,67,383,48092
8,MS,0,0,0,138236,0,273654,1781,3134,278569
9,NC & VA,0,0,0,116120,0,264601,3640,2740,270981
10,SC,0,0,0,17241,0,49825,354,527,50706
11,TN,0,0,9959,124294,0,369837,1810,3051,374698
12,TX,108439,108439,14579,106225,108438,630218,20597,40339,799592
13,--TOTAL,108439,108439,24617,786633,108438,2375460,44030,64233,2592161
