,State,Total Issued 2026,Total New Issued 2026,Held by CCC 2026,Under Shipping Order,Open 2026,Open 2025,Open 2024,Open 2023 and earlier,Total Open
0,AL & FL,0,0,0,30832,0,55762,777,1035,57574
1,AR,0,0,0,106298,0,216359,1464,839,218662
2,AZ & NM,0,0,0,5003,0,91935,5329,2251,99515
3,CA,0,0,0,14579,0,61145,15433,2662,79240
4,GA,0,0,0,81166,0,161921,9268,3669,174858
5,KS & OK,0,0,0,5720,0,25564,102,243,25909
6,LA,0,0,0,5873,0,10539,274,630,11443
7,MO,0,0,0,13765,0,52126,423,144,52693
8,MS,0,0,0,80846,0,143333,1151,1329,145813
9,NC & VA,0,0,0,67013,0,157481,3846,3528,164855
10,SC,0,0,0,11588,0,32754,312,605,33671
11,TN,0,0,259,73534,0,257136,4305,933,262374
12,TX,188610,188610,18539,189948,188610,805361,31469,41921,1067361
13,--TOTAL,188610,188610,18798,686165,188610,2071416,74153,59789,2393968
