,Region,2021,2022,2023,2024,2025
0,AL & FL,18991,130602,97500,134991,107773
1,AR,158464,267657,358428,464657,339600
2,AZ & NM,13837,22171,15792,21931,10240
3,CA,20299,18457,4694,12986,13720
4,GA,73546,265329,115381,112736,148653
5,KS & OK,41767,19612,23962,34773,35018
6,LA,51492,204761,167293,181051,113685
7,MO,32392,75469,73443,100549,52317
8,MS,105174,371466,331156,441459,248732
9,NC & VA,76726,143428,39462,30823,47474
10,SC,20412,44517,9299,22537,10042
11,TN,94290,226710,292032,366403,219663
12,TX,1385081,1249717,1119017,1404494,1256950
