,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,777724,720843,632251
1,AR,1267810,1499841,1268857,1739906,1349264
2,AZ & NM,390822,394725,302874,339115,278895
3,CA,276934,323517,204697,285457,304939
4,GA,3240558,3655174,2783046,2894588,2628977
5,KS & OK,865506,508987,406675,541150,835867
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1190157,1386069,1085410,1426697,1052152
9,NC & VA,1108753,1382968,1149296,1271887,1086494
10,SC,435670,463719,340038,363353,294777
11,TN,1219276,1556297,1614458,1837358,1116595
12,TX,8949129,3762433,3663490,5591889,7398372
